,,,<,이륜차,통계표,,>,,,,,,,,
통계년월:,2020.07,,,,,,,,,,,,,,
구분,계,,,,,관용,,,,,자가용,,,,
시도명,소계,경형,소형,중형,대형,소계,경형,소형,중형,대형,소계,경형,소형,중형,대형
서울,454606 ,20309 ,145008 ,256849 ,32440 ,4499 ,316 ,929 ,3101 ,153 ,450107 ,19993 ,144079 ,253748 ,32287 
부산,135018 ,6393 ,37119 ,83653 ,7853 ,1373 ,150 ,151 ,1031 ,41 ,133645 ,6243 ,36968 ,82622 ,7812 
대구,135747 ,10532 ,58156 ,60969 ,6090 ,1239 ,188 ,197 ,820 ,34 ,134508 ,10344 ,57959 ,60149 ,6056 
인천,78188 ,4103 ,29422 ,38931 ,5732 ,1010 ,13 ,190 ,773 ,34 ,77178 ,4090 ,29232 ,38158 ,5698 
광주,40650 ,2044 ,15888 ,20615 ,2103 ,488 ,22 ,46 ,410 ,10 ,40162 ,2022 ,15842 ,20205 ,2093 
대전,38906 ,3624 ,11418 ,20725 ,3139 ,476 ,33 ,67 ,364 ,12 ,38430 ,3591 ,11351 ,20361 ,3127 
울산,64182 ,3678 ,12005 ,45446 ,3053 ,496 ,101 ,48 ,337 ,10 ,63686 ,3577 ,11957 ,45109 ,3043 
세종,11492 ,803 ,5254 ,4787 ,648 ,119 ,8 ,11 ,96 ,4 ,11373 ,795 ,5243 ,4691 ,644 
경기,409221 ,19092 ,152146 ,205696 ,32287 ,4888 ,165 ,1002 ,3609 ,112 ,404333 ,18927 ,151144 ,202087 ,32175 
강원,66666 ,5722 ,24436 ,32850 ,3658 ,961 ,56 ,53 ,816 ,36 ,65705 ,5666 ,24383 ,32034 ,3622 
충북,92313 ,7178 ,40635 ,40554 ,3946 ,1188 ,73 ,268 ,812 ,35 ,91125 ,7105 ,40367 ,39742 ,3911 
충남,136539 ,9468 ,64740 ,57069 ,5262 ,1751 ,182 ,420 ,1116 ,33 ,134788 ,9286 ,64320 ,55953 ,5229 
전북,100694 ,7248 ,50057 ,40408 ,2981 ,1365 ,93 ,301 ,946 ,25 ,99329 ,7155 ,49756 ,39462 ,2956 
전남,118960 ,7767 ,59164 ,49002 ,3027 ,2035 ,130 ,597 ,1272 ,36 ,116925 ,7637 ,58567 ,47730 ,2991 
경북,188881 ,15632 ,86060 ,81050 ,6139 ,2069 ,86 ,501 ,1425 ,57 ,186812 ,15546 ,85559 ,79625 ,6082 
경남,164961 ,11671 ,58917 ,87015 ,7358 ,2136 ,147 ,408 ,1547 ,34 ,162825 ,11524 ,58509 ,85468 ,7324 
제주,33098 ,7083 ,10556 ,13961 ,1498 ,505 ,133 ,76 ,273 ,23 ,32593 ,6950 ,10480 ,13688 ,1475 
합계,2270122 ,142347 ,860981 ,1139580 ,127214 ,26598 ,1896 ,5265 ,18748 ,689 ,2243524 ,140451 ,855716 ,1120832 ,126525 
,,,,,,,,,,,,,,,
"※전월말 신고현황 :  2,264,950대",,,,,,,,,,,,,,,
"※전월말 대비증감현황 :  5,172대",,,,,,,,,,,,,,,
